osmid,amenity,name,geometry,access,wheelchair,addr:city,addr:housenumber,addr:postcode,addr:street,cuisine,source,source:date,description,internet_access,internet_access:fee,level,location,old_name,opening_hours,toilets:wheelchair,addr:housename,phone,website,diet:vegan,diet:vegetarian,contact:facebook,contact:instagram,alt_name,email,payment:cash,smoking,shop,name:en,name:nl,branch,brand,brand:wikidata,takeaway,url,brand:wikipedia,loc_ref,outdoor_seating,changing_table,toilets,food,nodes,building,building:levels,height,layer,name:zh,ref:bag,roof:colour,roof:height,roof:material,roof:shape
252111330,pub,Café Scharrebier,POINT (4.9111074 52.3704414),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252143918,restaurant,de Kluis,POINT (4.9117046 52.371134),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299727761,cafe,Planetariumcafé,POINT (4.9131881 52.3673089),customers,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539128135,restaurant,Eenvistweevis,POINT (4.9117106 52.3708182),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055573894,restaurant,Greetje,POINT (4.9077158 52.3715795),,yes,Amsterdam,23,1011TJ,Peperstraat,Dutch_French,BAG,2014-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074370472,restaurant,Babel,POINT (4.9081512 52.3758693),,yes,,,,,,,,"restaurant inside OBA, top floor",wlan,no,7,overground,La Place,Mo-Su 10:00-22:00,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083536032,restaurant,Plancius,POINT (4.9127949 52.3678354),,,Amsterdam,61C,1018CX,Plantage Kerklaan,international,,,,,,,,,,,Plancius,+31 20 223 6946,https://www.restaurantplancius.nl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083536033,fast_food,Bread and Salt,POINT (4.9122197 52.3671836),,,Amsterdam,49A,1018CV,Plantage Kerklaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083536034,restaurant,Bloem,POINT (4.9142406 52.3688499),,,Amsterdam,36,1018AD,Entrepotdok,,,,,,,,,,Tu-Sa 12:00-22:00; Su 12:00-17:00,,Bloem,,http://www.bloem36.nl,yes,only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749038791,restaurant,Gebr. Hartering,POINT (4.9074757 52.3716443),,no,Amsterdam,10-huis,1011TL,Peperstraat,meat,,,,,,,,,Mo-Su 18:00-22:00,,,+31 20 421 0699,https://www.gebr-hartering.nl,,,https://www.facebook.com/Gebr.Hartering/,https://www.instagram.com/gebrhartering/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708539685,pub,Cafe Smit & Voogt,POINT (4.9095413 52.3673515),,,Amsterdam,10,1018ST,Plantage Parklaan,,,,,wlan,no,,,,Mo-Su 10:00-24:00,,,,https://www.cafesmitenvoogt.nl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708542899,restaurant,Cafe Kadijk,POINT (4.9121073 52.3701143),,,Amsterdam,5,1018AB,Kadijksplein,indonesian,BAG,2014-03-24,,,,,,,,,,,https://www.cafekadijk.nl/,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2741065816,bar,HPS,POINT (4.9076664 52.37171),,limited,Amsterdam,18,1011TX,Rapenburg,,BAG,2014-03-24,"Cocktail bar. HPS stands for ""Hiding in Plain Sight.""",,,,,,"Mo-Th 18:00-01:00, Fr-Sa 18:00-03:00, Su 18:00-01:00",,,+31 6 25293620,https://hpsamsterdam.com,,,,,Hiding in Plain Sight,info@hpsamsterdam.com,yes,outside,,,,,,,,,,,,,,,,,,,,,,,,,
2741083814,pub,De Druif,POINT (4.9106101 52.3700544),,,Amsterdam,83,1011VJ,Rapenburgerplein,,BAG,2014-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743481707,restaurant,Frank's Smoke House,POINT (4.920537 52.369393),,,Amsterdam,303,1018ZL,Wittenburgergracht,,BAG,2014-03-24,Restaurant en winkel voor gerookte vis,,,,,,"Tu-Th 11:00-19:00; Fr,Sa 11:00-22:00; Su 11:00-17:00",,,,https://www.smokehouse.nl/,,,,,,,,,seafood,,,,,,,,,,,,,,,,,,,,,,,,
2743482771,pub,Café Daan & Daan,POINT (4.9163574 52.3708862),,yes,Amsterdam,39,1018KK,Kattenburgerplein,,BAG,2014-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743544698,fast_food,Sotto Pizzeria,POINT (4.9119173 52.3700326),,no,Amsterdam,4,1018AB,Kadijksplein,pizza,BAG,2014-03-24,,,,,,,Su-Th 17:00-22:00; Fr-Sa 17:00-23:00,,,+31207733120,https://www.sottopizza.nl/,,yes,SottoPizza,https://instagram.com/explore/locations/57229783/sotto-pizza-legale,,,,,,Sotto,Sotto,,,,,,,,,,,,,,,,,,,,,,
2743728505,cafe,Coffee Company,POINT (4.9077595 52.3758457),,,Amsterdam,137,1011DL,Oosterdokskade,coffee_shop,BAG,2014-03-24,,,,,,,Mo-Fr 07:30-17:00; Sa-Su 08:30-17:00,,,+31 20 303 3877,https://www.coffeecompany.nl/locations/oosterdokskade-137,,,,,,,,,,,,Oosterdok,Coffee Company,Q108927063,yes,www.coffeecompany.nl,,,,,,,,,,,,,,,,,
2743728707,restaurant,Gaja Korean BBQ & Bar,POINT (4.9085513 52.3757981),,,Amsterdam,145,1011DL,Oosterdokskade,korean,BAG,2014-03-24,,,,,,,"Mo-Su 16:30-22:30 open ""Restaurant and Bar"" || Su-We 12:30-23:00 open ""Bar"" || Th-Sa 12:00-00:00 open ""Bar""",,,,https://gajabbq.com,,,,,,info@gajabbq.com,,,,,,,,,,,en:Vapiano,,,,,,,,,,,,,,,,
2971360870,cafe,Gollem,POINT (4.9163971 52.368084),,,Amsterdam,64,1018AD,Entrepotdok,,,,,,,,,,,,,,https://cafegollem.nl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3915502820,restaurant,Pension Homeland,POINT (4.9166178 52.37295),,,Amsterdam,5,1018JA,Kattenburgerstraat,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3915502821,cafe,Pension Homeland,POINT (4.9165146 52.3728801),,,,,,,,,,,,,,,,Mo-Su 10:00-20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4470032578,restaurant,Scheepskameel,POINT (4.9142739 52.375501),,yes,Amsterdam,5,,Kattenburgerstraat,,,,,,,,,,,no,,,https://www.scheepskameel.nl/,,,,,,,,,,,,,,,,,,024A,,,,,,,,,,,,,,,
4489285094,cafe,cafe Orloff,POINT (4.9123276 52.3702817),,yes,Amsterdam,11,1018AC,Kadijksplein,"Regional._Breakfast,_lunch and dinner",,,,wlan,,,,,,,,+31 20 320 3347,http://orloffamsterdam.nl,,,,,Café Orloff Amsterdam,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,
5211679121,restaurant,Restaurant Stalpaert,POINT (4.9145436 52.3714555),,,Amsterdam,,1018KK,Kattenburgerplein,,,,,,,,,,,,Het Scheepvaartmuseum,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,
5909685709,restaurant,DAK restaurant Nemo,POINT (4.9123687 52.3742679),,limited,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,
